POS,PLAYER,INN,RUNS,AVG,SR,4S,6S
1,David Warner,12,692,69.2,143.87,57,21
2,Lokesh Rahul,14,593,53.91,135.39,49,25
3,Quinton de Kock,16,529,35.27,132.91,45,25
4,Shikhar Dhawan,16,521,34.73,135.68,64,11
5,Andre Russell,13,510,56.67,204.82,31,52
6,Chris Gayle,13,490,40.83,153.61,45,34
7,Rishabh Pant,16,488,37.54,162.67,37,27
8,Virat Kohli,14,464,33.14,141.46,46,13
9,Shreyas Iyer,16,463,30.87,119.95,41,14
10,Jonny Bairstow,10,445,55.62,157.24,48,18
11,AB de Villiers,13,442,44.2,154.01,31,26
12,Suryakumar Yadav,15,424,32.62,130.86,45,10
13,MS Dhoni,12,416,83.2,134.63,22,23
14,Chris Lynn,13,405,31.15,139.66,41,22
15,Rohit Sharma,15,405,28.93,128.57,52,10
16,Hardik Pandya,15,402,44.67,191.43,28,29
17,Shane Watson,17,398,23.41,127.56,42,20
18,Faf du Plessis,12,396,36,123.36,36,15
19,Ajinkya Rahane,13,393,32.75,137.89,45,9
20,Suresh Raina,17,383,23.94,121.97,45,9
