"id","season","city","date","team1","team2","toss_winner","toss_decision","result","dl_applied","winner","win_by_runs","win_by_wickets","player_of_match","venue","umpire1","umpire2","umpire3"
11137,2019,"Chennai","23/03/19","Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Chennai Super Kings",0,7,"Harbhajan Singh","M. A. Chidambaram Stadium","Bruce Oxenford","Anil Dandekar","Nitin Menon"
11138,2019,"Kolkata","24/03/19","Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,6,"AD Russell","Eden Gardens","Chris Gaffaney","Anil Chaudhary","Vineet Kulkarni"
11139,2019,"Mumbai","24/03/19","Delhi Capitals","Mumbai Indians","Mumbai Indians","field","normal",0,"Delhi Capitals",37,0,"RR Pant","Wankhede Stadium","S Ravi","Yeshwant Barde","O Nandan"
11140,2019,"Jaipur","25/03/19","Kings XI Punjab","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Kings XI Punjab",14,0,"CH Gayle","Sawai Mansingh Stadium","C Shamshuddin","KN Anantapadmanabhan","Bruce Oxenford"
11141,2019,"Delhi","26/03/19","Delhi Capitals","Chennai Super Kings","Delhi Capitals","bat","normal",0,"Chennai Super Kings",0,6,"SR Watson","Feroz Shah Kotla Ground","Marais Erasmus","Nitin Menon","Anil Dandekar"
11142,2019,"Kolkata","27/03/19","Kolkata Knight Riders","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kolkata Knight Riders",28,0,"AD Russell","Eden Gardens","Anil Chaudhary","Vineet Kulkarni","Chris Gaffaney"
11143,2019,"Bengaluru","28/03/19","Mumbai Indians","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Mumbai Indians",6,0,"JJ Bumrah","M. Chinnaswamy Stadium","S Ravi","O Nandan","Yeshwant Barde"
11144,2019,"Hyderabad","29/03/19","Rajasthan Royals","Sunrisers Hyderabad","Rajasthan Royals","bat","normal",0,"Sunrisers Hyderabad",0,5,"Rashid Khan","Rajiv Gandhi Intl. Cricket Stadium","Bruce Oxenford","C Shamshuddin","KN Anantapadmanabhan"
11145,2019,"Mohali","30/03/19","Mumbai Indians","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,8,"MA Agarwal","IS Bindra Stadium","Vineet Kulkarni","Chris Gaffaney","Anil Chaudhary"
11146,2019,"Delhi","30/03/19","Kolkata Knight Riders","Delhi Capitals","Delhi Capitals","field","tie",0,"Delhi Capitals",0,0,"P Shaw","Feroz Shah Kotla Ground","Anil Dandekar","Nitin Menon","Marais Erasmus"
11147,2019,"Hyderabad","31/03/19","Sunrisers Hyderabad","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Sunrisers Hyderabad",118,0,"J Bairstow","Rajiv Gandhi Intl. Cricket Stadium","S Ravi","KN Anantapadmanabhan","C Shamshuddin"
