"","DA Warner","KL Rahul","S Dhawan","J Bairstow","SS Iyer","AD Russell","Q de Kock","HH Pandya","AB de Villiers","RR Pant"
"match1",88,4,44,42,16,50,29,0,9,80
"match2",71,1,52,49,18,49,23,34,73,28
"match3",101,72,16,115,49,72,64,33,1,18
"match4",14,15,34,53,30,52,5,26,13,43
"match5",17,55,13,16,43,52,19,14,65,5
"match6",74,71,0,5,73,46,24,25,18,18
"match7",51,104,98,43,6,10,83,30,59,48
"match8",51,18,7,63,48,70,41,40,76,24
"match9",70,53,35,82,3,16,36,32,26,7
"match10",59,12,62,0,61,14,67,25,86,7
